Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,VideoPath,AudioPath,Label
66,Good job Joe! Well done! Top notch!,Chandler,joy,positive,6,0,8,22,"00:12:24,315","00:12:27,526",C:\Users\Owner\Desktop\Friends\Friends_Clips\video\S08E22_D6_U0.mkv,C:\Users\Owner\Desktop\Friends\Friends_Clips\audio\S08E22_D6_U0.wav,neutral
67,You liked it? You really liked it?,Joey,surprise,positive,6,1,8,22,"0:12:28,194","0:12:29,796",C:\Users\Owner\Desktop\Friends\Friends_Clips\video\S08E22_D6_U1.mkv,C:\Users\Owner\Desktop\Friends\Friends_Clips\audio\S08E22_D6_U1.wav,neutral
68,"Oh-ho-ho, yeah!",Chandler,joy,positive,6,2,8,22,"0:12:29,796","0:12:31,501",C:\Users\Owner\Desktop\Friends\Friends_Clips\video\S08E22_D6_U2.mkv,C:\Users\Owner\Desktop\Friends\Friends_Clips\audio\S08E22_D6_U2.wav,neutral
69,Which part exactly?,Joey,neutral,neutral,6,3,8,22,"0:12:31,655","0:12:33,657",C:\Users\Owner\Desktop\Friends\Friends_Clips\video\S08E22_D6_U3.mkv,C:\Users\Owner\Desktop\Friends\Friends_Clips\audio\S08E22_D6_U3.wav,neutral
70,The whole thing! Can we go?,Chandler,neutral,neutral,6,4,8,22,"0:12:33,657","0:12:36,243",C:\Users\Owner\Desktop\Friends\Friends_Clips\video\S08E22_D6_U4.mkv,C:\Users\Owner\Desktop\Friends\Friends_Clips\audio\S08E22_D6_U4.wav,neutral
71,"Oh no-no-no, give me some specifics.",Joey,anger,negative,6,5,8,22,"00:12:36,368","00:12:38,746",C:\Users\Owner\Desktop\Friends\Friends_Clips\video\S08E22_D6_U5.mkv,C:\Users\Owner\Desktop\Friends\Friends_Clips\audio\S08E22_D6_U5.wav,anger
72,"I love the specifics, the specifics were the best part!",Chandler,joy,positive,6,6,8,22,"00:12:38,954","00:12:43,000",C:\Users\Owner\Desktop\Friends\Friends_Clips\video\S08E22_D6_U6.mkv,C:\Users\Owner\Desktop\Friends\Friends_Clips\audio\S08E22_D6_U6.wav,neutral
73,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,neutral,6,7,8,22,"00:12:43,209","00:12:48,255",C:\Users\Owner\Desktop\Friends\Friends_Clips\video\S08E22_D6_U7.mkv,C:\Users\Owner\Desktop\Friends\Friends_Clips\audio\S08E22_D6_U7.wav,neutral
74,I was surprised to see a kangaroo in a World War I epic.,Chandler,surprise,negative,6,8,8,22,"00:12:49,298","00:12:54,929",C:\Users\Owner\Desktop\Friends\Friends_Clips\video\S08E22_D6_U8.mkv,C:\Users\Owner\Desktop\Friends\Friends_Clips\audio\S08E22_D6_U8.wav,cause
75,You fell asleep!!,Joey,anger,negative,6,9,8,22,"00:12:55,930","00:12:56,931",C:\Users\Owner\Desktop\Friends\Friends_Clips\video\S08E22_D6_U9.mkv,C:\Users\Owner\Desktop\Friends\Friends_Clips\audio\S08E22_D6_U9.wav,anger
